GeneName	n_homAA	n_hetRA
AC010255.3	7	0
AC010319.2	0	8832
AC010325.1	0	66
AC010422.5	0	947
AC010522.1	0	0
AC010531.1	0	0
AC010646.1	0	8
AC011005.1	0	11
AC011195.3	0	0
AC011448.1	0	0
AC011455.2	0	101
AC011462.1	0	2423
AC011479.2	0	4
AC011499.1	0	16
AC011530.1	0	1826
AC012184.2	0	713
AC012213.5	0	64
AC012309.1	0	3186
AC012488.2	0	1
AC012531.3	0	0
AC013394.1	0	2
AC013470.2	0	3165
AC013489.1	0	173
AC015802.6	0	0
AC018630.2	0	832
AC018709.1	0	310
AC018755.2	0	2949
AC019117.4	0	0
AC020907.6	1	176
AC020909.1	0	4228
AC021072.1	0	36
AC022137.3	0	0
AC022414.1	0	0
AC022506.1	0	551
AC023055.1	0	0
AC023490.7	0	0
AC024558.2	0	0
AC024592.3	0	19
AC025165.3	0	16842
AC025287.4	134	12825
AC026316.4	0	364
AC026464.3	0	0
AC026464.4	0	0
AC026464.6	0	0
AC026740.3	69	0
AC026786.1	0	370
AC034102.2	0	2364
AC037459.1	0	106
AC048338.2	0	0
AC053503.6	0	0
AC055839.2	2	0
AC058822.1	0	822
AC067752.1	0	0
AC068533.4	0	0
AC068580.4	0	0
AC068631.3	0	0
AC068775.1	0	0
AC069368.1	0	4
AC069444.2	0	0
AC072022.2	0	0
AC073111.4	0	0
AC073610.2	0	3729
AC073896.1	0	4
AC083800.1	0	2523
AC083977.1	0	59
AC087498.1	0	0
AC087721.2	0	0
AC090517.4	0	0
AC090527.3	0	4
AC091167.6	0	910
AC091959.3	0	122
AC092017.3	0	2
AC092042.3	0	1
AC092073.1	0	75
AC092143.1	0	105
AC092329.3	0	0
AC092442.1	0	55
AC092587.1	0	15
AC092647.5	0	0
AC092718.3	0	0
AC092718.8	0	2862
AC092835.1	0	39
AC093155.3	0	7977
AC093323.1	0	96
AC093512.2	0	0
AC093525.1	0	0
AC093525.2	0	5
AC093668.1	0	8
AC093827.5	0	0
AC093899.2	38	0
AC097634.4	0	4770
AC097636.1	0	55
AC097637.1	0	0
AC098582.1	0	0
AC099489.1	0	0
AC099811.2	0	0
AC099850.3	0	0
AC100868.1	0	0
AC104109.3	0	0
AC104389.6	0	0
AC104452.1	0	4
AC107871.1	0	0
AC107959.5	0	2227
AC109583.1	0	3785
AC113348.1	0	1508
AC114490.3	0	0
AC116366.3	0	775
AC117378.1	0	869
AC117457.1	0	9
AC118281.1	0	2925
AC118470.1	0	0
AC118549.1	0	0
AC118553.2	0	796
AC119396.1	0	20960
AC119676.1	70	0
AC126283.2	0	2367
AC127029.3	11	0
AC129492.3	0	0
AC131160.1	0	1020
AC132217.2	0	0
AC134669.1	0	125
AC134980.3	10	86
AC135050.2	0	0
AC135068.1	0	100
AC135068.3	0	180
AC136428.1	0	0
AC138647.1	0	3961
AC138696.1	100	0
AC138811.2	0	216
AC138894.1	0	9
AC138969.1	0	0
AC139530.2	0	0
AC140504.1	0	2
AC144573.1	101	74
AC231656.1	0	0
AC231657.3	0	1
AC233723.1	0	33
AC236972.4	0	12
AC242842.3	0	527
AC243547.3	0	6008
AC243967.1	0	505
AC244197.3	30	25
AC244517.10	0	205
AC245033.1	103	2818
AC245748.1	0	2917
AC253536.7	0	25
AC253572.1	0	0
ACAA1	0	951
ACAA2	0	0
ACACA	0	0
ACACB	0	88
ACAD10	0	1703
ACAD11	0	2
ACAD8	0	0
ACAD9	0	1
ACADL	0	4088
ACADM	0	685
ACADS	0	0
ACADSB	0	2695
ACADVL	0	21
ACAN	0	0
ACAP1	0	4199
ACAP2	0	575
ACAP3	0	0
ACAT1	0	5263
ACAT2	0	1
ACBD3	0	6
ACBD4	0	2
ACBD5	0	33
ACBD6	0	15
ACBD7	0	200
ACCS	0	3761
ACCSL	0	0
ACD	0	1148
ACE	0	454
ACE2	0	0
ACER1	0	0
ACER2	0	7
ACER3	0	0
ACHE	0	2
ACIN1	2	0
ACKR1	0	2
ACKR2	0	4
ACKR3	0	146
ACKR4	0	0
ACLY	0	0
ACMSD	2	49
ACO1	0	2
ACO2	0	1
ACOD1	0	0
ACOT1	0	3
ACOT11	0	2
ACOT12	0	0
ACOT13	28	1
ACOT2	0	0
ACOT4	0	4
ACOT6	0	0
ACOT7	0	58
ACOT8	0	10
ACOT9	0	2
ACOX1	43	1047
ACOX2	0	1031
ACOX3	0	2406
ACOXL	0	492
ACP1	0	0
ACP2	0	0
ACP3	0	0
ACP4	0	0
ACP5	0	0
ACP6	0	0
ACP7	8	0
ACR	0	0
ACRBP	0	2500
ACRV1	0	2
ACSBG1	0	2
ACSBG2	0	12250
ACSF2	0	0
ACSF3	0	0
ACSL1	0	152
ACSL3	0	0
ACSL4	0	15
ACSL5	0	4
ACSL6	0	0
ACSM1	0	2929
ACSM2A	0	764
ACSM2B	0	0
ACSM3	0	0
ACSM4	0	1
ACSM5	0	4
ACSM6	0	783
ACSS1	0	287
ACSS2	0	1
ACSS3	0	0
ACTA1	0	0
ACTA2	0	0
ACTB	0	0
ACTBL2	0	34
ACTC1	0	0
ACTG1	0	0
ACTG2	2	0
ACTL10	0	0
ACTL6A	4	405
ACTL6B	0	0
ACTL7A	0	747
ACTL7B	0	0
ACTL8	3	996
ACTL9	0	419
ACTN1	5	0
ACTN2	0	516
ACTN3	0	3515
ACTN4	0	0
ACTR10	0	5
ACTR1A	0	1223
ACTR1B	0	0
ACTR2	0	4
ACTR3	0	523
ACTR3B	0	0
ACTR3C	0	1
ACTR5	0	241
ACTR6	0	2484
ACTR8	0	0
ACTRT1	0	1
ACTRT2	0	0
ACTRT3	0	85
ACVR1	0	36
ACVR1B	0	0
ACVR1C	0	0
ACVR2A	0	36
ACVR2B	0	798
ACVRL1	0	0
ACY1	0	0
ACY3	0	3410
ACYP1	0	3215
ACYP2	0	9
ADA	446	3
ADA2	0	2
ADAD1	0	4
ADAD2	0	25
ADAL	0	17
ADAM10	0	0
ADAM11	13	0
ADAM12	0	1143
ADAM15	21	0
ADAM17	0	0
ADAM18	0	53
ADAM19	0	0
ADAM2	1	0
ADAM20	22	0
ADAM21	0	525
ADAM22	0	9
ADAM23	0	1
ADAM28	0	19
ADAM29	0	1133
ADAM30	0	2
ADAM32	0	72
ADAM33	0	0
ADAM7	0	5
ADAM8	1	16
ADAM9	0	251
ADAMDEC1	0	4550
ADAMTS1	0	0
ADAMTS10	0	9
ADAMTS12	7	0
ADAMTS13	0	0
ADAMTS14	0	3706
ADAMTS15	0	0
ADAMTS16	0	0
ADAMTS17	0	0
ADAMTS18	0	3
ADAMTS19	0	0
ADAMTS2	0	0
ADAMTS20	0	3361
ADAMTS3	0	12
ADAMTS4	0	0
ADAMTS5	0	0
ADAMTS6	0	2830
ADAMTS7	0	101
ADAMTS8	0	776
ADAMTS9	0	702
ADAMTSL1	0	805
ADAMTSL2	0	0
ADAMTSL3	0	142
ADAMTSL4	0	0
ADAMTSL5	0	90
ADAP1	0	30
ADAP2	0	6
ADAR	0	0
ADARB1	0	14
ADARB2	0	0
ADAT1	0	0
ADAT2	0	18
ADAT3	0	4
ADCK1	0	2
ADCK2	0	4
ADCK5	0	0
ADCY1	0	0
ADCY10	0	0
ADCY2	0	45
ADCY3	0	5
ADCY4	0	0
ADCY5	94	739
ADCY6	0	35
ADCY7	0	0
ADCY8	0	8
ADCY9	0	51
ADCYAP1	1	0
ADCYAP1R1	0	510
ADD1	0	1
ADD2	1	2
ADD3	0	2492
ADGB	0	0
ADGRA1	0	42
ADGRA2	0	220
ADGRA3	0	0
ADGRB1	0	103
ADGRB2	0	1211
ADGRB3	0	0
ADGRD1	0	0
ADGRD2	0	488
ADGRE1	1	7
ADGRE2	0	0
ADGRE3	0	25
ADGRE5	0	138
ADGRF1	0	0
ADGRF2	0	416
ADGRF3	0	2
ADGRF4	0	66
ADGRF5	0	73
ADGRG1	0	574
ADGRG2	0	0
ADGRG3	0	938
ADGRG4	0	0
ADGRG5	0	1
ADGRG6	0	12370
ADGRG7	0	12
ADGRL1	2	20
ADGRL2	0	2001
ADGRL3	0	400
ADGRL4	0	0
ADGRV1	0	0
ADH1A	296	0
ADH1B	0	2
ADH1C	0	12007
ADH4	0	16
ADH5	0	0
ADH6	0	15230
ADH7	0	0
ADHFE1	0	0
ADI1	0	0
ADIG	0	0
ADIPOQ	0	31
ADIPOR1	0	0
ADIPOR2	0	912
ADIRF	0	0
ADK	0	0
ADM	0	108
ADM2	0	0
ADM5	0	592
ADNP	0	1
ADNP2	1	2911
ADO	0	939
ADORA1	0	2
ADORA2A	0	29
ADORA2B	0	8
ADORA3	0	0
ADPGK	0	931
ADPRH	0	2074
ADPRHL1	0	0
ADPRM	0	0
ADPRS	0	517
ADRA1A	0	40
ADRA1B	0	0
ADRA1D	0	252
ADRA2A	0	3
ADRA2B	0	0
ADRA2C	0	1
ADRB1	0	0
ADRB2	0	0
ADRB3	0	928
ADRM1	0	16
ADSL	0	16
ADSS1	14	3
ADSS2	0	0
ADTRP	0	0
AEBP1	0	110
AEBP2	0	27
AEN	0	8371
AF196969.1	0	6324
AF241726.2	0	826
AFAP1	0	0
AFAP1L1	0	0
AFAP1L2	0	1
AFDN	0	0
AFF1	0	4
AFF2	0	39
AFF3	7	94
AFF4	0	0
AFG1L	0	1
AFG3L2	0	0
AFM	0	0
AFMID	0	0
AFP	0	0
AFTPH	8	2
AGA	0	1
AGAP1	0	4026
AGAP2	0	0
AGAP3	0	8
AGAP4	0	1190
AGAP5	0	1434
AGAP6	0	1324
AGAP9	0	141
AGBL1	0	28
AGBL2	0	42
AGBL3	0	432
AGBL4	0	6446
AGBL5	0	12
AGER	0	0
AGFG1	0	2
AGFG2	0	1025
AGGF1	0	440
AGK	0	2020
AGL	0	2023
AGMAT	0	1
AGMO	0	0
AGO1	0	0
AGO2	0	7
AGO3	0	4
AGO4	0	15
AGPAT1	0	3186
AGPAT2	0	474
AGPAT3	0	0
AGPAT4	0	0
AGPAT5	0	0
AGPS	0	6
AGR2	0	4012
AGR3	0	0
AGRN	0	0
AGRP	0	31
AGT	0	461
AGTPBP1	0	0
AGTR1	0	0
AGTR2	0	179
AGTRAP	0	0
AGXT	0	27
AGXT2	0	0
AHCTF1	0	0
AHCY	0	18271
AHCYL1	0	23
AHCYL2	2	197
AHDC1	0	2
AHI1	0	14
AHNAK	0	0
AHNAK2	0	1
AHR	0	50
AHRR	0	0
AHSA1	0	810
AHSG	0	0
AHSP	0	194
AICDA	0	0
AIDA	0	1023
AIF1	0	1349
AIF1L	3	27
AIFM1	0	0
AIFM2	0	0
AIFM3	0	1
AIG1	0	298
AIM2	0	285
AIMP1	0	18
AIMP2	0	7494
AIP	0	4
AIPL1	0	1
AIRE	0	1093
AJAP1	0	0
AJM1	0	0
AJUBA	0	309
AK1	0	1
AK2	0	2711
AK3	0	0
AK4	0	4227
AK5	0	6943
AK6	0	530
AK7	0	5
AK8	0	1
AK9	0	0
AKAIN1	0	67
AKAP1	0	143
AKAP10	0	9
AKAP11	0	162
AKAP12	0	256
AKAP13	88	0
AKAP14	0	442
AKAP17A	0	1261
AKAP3	0	1116
AKAP4	0	25
AKAP5	0	0
AKAP6	0	53
AKAP7	0	616
AKAP8	0	0
AKAP8L	1	0
AKAP9	0	1
AKIP1	0	89
AKIRIN1	0	189
AKIRIN2	0	0
AKNA	0	29239
AKNAD1	0	52
AKR1A1	0	12
AKR1B1	0	0
AKR1B10	63	0
AKR1B15	1	207
AKR1C1	0	0
AKR1C2	0	15
AKR1C3	0	15
AKR1C4	0	176
AKR1C8P	0	0
AKR1D1	0	165
AKR1E2	0	188
AKR7A2	0	0
AKR7A3	14	0
AKT1	0	5
AKT1S1	0	0
AKT2	0	0
AKT3	3	170
AKTIP	0	0
AL021546.1	4	1078
AL021997.3	0	2
AL022312.1	0	245
AL022318.4	0	3742
AL031315.1	0	2369
AL031681.3	0	0
AL031777.2	0	40
AL034430.1	0	1730
AL034430.2	0	0
AL035078.4	0	8
AL035425.3	0	1777
AL035460.1	0	0
AL035461.4	0	0
AL035699.1	0	168
AL049629.2	0	447
AL049634.2	0	154
AL096814.1	0	1779
AL109810.2	2	0
AL109811.3	0	1
AL110118.2	20	5
AL117348.2	0	0
AL121758.1	6	1
AL121845.2	63	0
AL121845.3	0	2
AL121899.2	4	7143
AL121900.1	0	97
AL132671.2	0	0
AL132780.3	8	8
AL133500.1	0	0
AL135905.2	0	344
AL136295.1	0	0
AL136295.3	0	2356
AL138899.3	0	14
AL139011.2	0	61
AL139260.3	1	0
AL139300.1	0	307
AL139353.1	0	0
AL157392.5	0	0
AL159163.1	0	0
AL160272.2	25	0
AL162231.1	0	0
AL162231.3	81	0
AL162417.1	0	0
AL162596.1	0	4004
AL163195.3	0	1430
AL163636.2	0	0
AL353572.3	0	0
AL353579.1	0	0
AL354761.1	20	0
AL355102.2	0	265
AL355315.1	0	16
AL355916.3	0	17
AL357075.4	0	0
AL358113.1	0	0
AL359092.3	0	0
AL365214.2	8	0
AL391650.1	0	3
AL391987.1	0	432
AL391987.2	0	60
AL441992.3	0	2443
AL445238.1	0	0
AL445524.2	0	0
AL445989.1	9	0
AL451007.3	0	0
AL512428.1	0	13261
AL512785.2	9	0
AL590132.1	6	0
AL592490.1	0	13
AL603764.2	0	415
AL603832.3	0	6
AL627230.1	0	4
AL627230.5	0	23
AL645922.1	0	0
AL645941.2	0	0
AL662884.4	0	0
AL662899.4	0	9
AL669918.1	0	108
AL672142.1	0	362
AL691442.2	0	32
AL713999.1	0	985
AL772284.2	0	2
AL845331.2	0	0
AL929554.2	0	0
ALAD	0	0
ALAS1	0	0
ALAS2	0	872
ALB	0	1
ALCAM	0	408
ALDH16A1	0	0
ALDH18A1	0	94
ALDH1A1	0	0
ALDH1A2	0	0
ALDH1A3	0	0
ALDH1B1	0	0
ALDH1L1	0	821
ALDH1L2	0	0
ALDH2	0	0
ALDH3A1	0	14
ALDH3A2	0	0
ALDH3B1	5	0
ALDH3B2	0	1012
ALDH4A1	0	8
ALDH5A1	0	44
ALDH6A1	0	2018
ALDH7A1	0	23
ALDH8A1	0	0
ALDH9A1	60	0
ALDOA	0	2
ALDOB	0	2293
ALDOC	0	446
ALG1	0	2961
ALG10	0	0
ALG10B	0	184
ALG11	0	139
ALG12	0	429
ALG13	0	1301
ALG14	0	22
ALG1L	0	0
ALG1L2	0	27
ALG2	0	2
ALG3	0	0
ALG5	0	6754
ALG6	0	3
ALG8	14	643
ALG9	0	0
ALK	0	577
ALKAL1	13	233
ALKAL2	0	154
ALKBH1	0	0
ALKBH2	0	0
ALKBH3	0	0
ALKBH4	0	30
ALKBH5	2	4173
ALKBH6	1	143
ALKBH7	0	124
ALKBH8	0	1
ALLC	5	803
ALMS1	0	33
ALOX12	0	1147
ALOX12B	0	181
ALOX15	0	0
ALOX15B	0	0
ALOX5	0	0
ALOX5AP	0	329
ALOXE3	0	87
ALPG	0	1540
ALPI	0	5707
ALPK1	0	500
ALPK2	0	0
ALPK3	0	0
ALPL	0	389
ALPP	0	0
ALS2	0	0
ALS2CL	0	18
ALX1	0	0
ALX3	0	0
ALX4	0	0
ALYREF	0	16
AMACR	8	0
AMBN	0	149
AMBP	0	0
AMBRA1	0	0
AMD1	0	1
AMDHD1	0	0
AMDHD2	0	0
AMELX	0	0
AMELY	0	0
AMER1	0	0
AMER2	6	0
AMER3	1	0
AMFR	0	81
AMH	0	103
AMHR2	0	2526
AMIGO1	0	0
AMIGO2	0	0
AMIGO3	0	0
AMMECR1	0	0
AMMECR1L	0	17
AMN	0	0
AMN1	0	6
AMOT	0	163
AMOTL1	0	0
AMOTL2	0	0
AMPD1	0	1
AMPD2	0	0
AMPD3	0	19154
AMPH	0	3991
AMT	0	0
AMTN	0	57
AMY1A	0	0
AMY1B	0	1503
AMY1C	0	0
AMY2A	0	1146
AMY2B	0	0
AMZ1	0	961
AMZ2	0	3
ANAPC1	0	506
ANAPC10	0	0
ANAPC11	0	2
ANAPC13	0	550
ANAPC15	34	3
ANAPC16	0	0
ANAPC2	0	0
ANAPC4	0	0
ANAPC5	0	9
ANAPC7	0	27054
ANG	0	0
ANGEL1	0	4102
ANGEL2	0	1
ANGPT1	0	23
ANGPT2	3	0
ANGPT4	0	0
ANGPTL1	0	8
ANGPTL2	0	611
ANGPTL3	0	589
ANGPTL4	0	2
ANGPTL5	0	0
ANGPTL6	0	1205
ANGPTL7	0	3
ANGPTL8	0	0
ANHX	0	0
ANK1	0	0
ANK2	0	0
ANK3	0	0
ANKAR	0	59
ANKDD1A	0	1096
ANKDD1B	0	94
ANKEF1	0	9077
ANKFN1	2	0
ANKFY1	0	5247
ANKH	0	6
ANKHD1	0	7769
ANKHD1-EIF4EBP3	0	0
ANKIB1	0	291
ANKK1	0	0
ANKLE1	0	0
ANKLE2	0	306
ANKMY1	0	32
ANKMY2	0	783
ANKRA2	0	0
ANKRD1	0	0
ANKRD10	0	819
ANKRD11	0	0
ANKRD12	0	0
ANKRD13A	0	4
ANKRD13B	0	0
ANKRD13C	0	1
ANKRD13D	0	0
ANKRD16	0	0
ANKRD17	0	0
ANKRD18A	15	0
ANKRD18B	0	1753
ANKRD2	0	42
ANKRD20A1	0	1142
ANKRD20A2P	0	0
ANKRD20A3P	0	2
ANKRD20A4P	0	0
ANKRD22	0	0
ANKRD23	0	0
ANKRD24	13	14
ANKRD26	0	266
ANKRD27	0	0
ANKRD28	0	0
ANKRD29	0	0
ANKRD30A	0	459
ANKRD30B	0	0
ANKRD30BL	0	9098
ANKRD31	0	0
ANKRD33	0	71
ANKRD33B	0	1203
ANKRD34A	0	2747
ANKRD34B	0	256
ANKRD34C	0	0
ANKRD35	0	0
ANKRD36	0	5095
ANKRD36B	80	210
ANKRD36C	0	0
ANKRD37	0	0
ANKRD39	49	0
ANKRD40	0	7
ANKRD40CL	0	6
ANKRD42	0	0
ANKRD44	0	0
ANKRD45	0	25
ANKRD46	0	0
ANKRD49	0	0
ANKRD50	0	3113
ANKRD52	0	0
ANKRD53	0	154
ANKRD54	0	0
ANKRD55	0	4
ANKRD6	0	7031
ANKRD60	0	1082
ANKRD61	0	64
ANKRD62	0	0
ANKRD63	0	0
ANKRD65	0	1711
ANKRD66	0	0
ANKRD7	0	0
ANKRD9	0	17297
ANKS1A	9	6
ANKS1B	0	0
ANKS3	0	0
ANKS4B	0	0
ANKS6	0	33
ANKUB1	0	2
ANKZF1	0	2
ANLN	0	884
ANO1	0	12
ANO10	0	6
ANO2	0	2
ANO3	0	186
ANO4	0	0
ANO5	0	0
ANO6	0	0
ANO7	0	5
ANO8	0	708
ANO9	0	6
ANOS1	0	1
ANP32A	33	1056
ANP32B	0	12
ANP32D	331	0
ANP32E	0	22
ANPEP	0	3
ANTKMT	0	0
ANTXR1	0	0
ANTXR2	0	3
ANTXRL	0	30
ANXA1	0	2235
ANXA10	0	0
ANXA11	0	257
ANXA13	0	7
ANXA2	0	28
ANXA2R	0	128
ANXA3	0	0
ANXA4	0	4
ANXA5	0	8015
ANXA6	0	320
ANXA7	0	584
ANXA8	0	0
ANXA8L1	0	87
ANXA9	0	7
AOAH	0	0
AOC1	0	3
AOC2	0	0
AOC3	0	686
AOPEP	0	2
AOX1	0	0
AP000295.1	0	0
AP000311.1	6	613
AP000350.4	0	41
AP000471.1	0	0
AP000552.6	2	0
AP000646.1	0	1
AP000721.1	0	2
AP000781.2	0	1
AP000812.4	2	5711
AP000812.5	0	1
AP001054.1	0	0
AP001267.5	0	0
AP001273.2	0	150
AP001453.5	0	0
AP001458.2	0	17
AP001781.2	0	450
AP002495.1	0	2354
AP002512.3	5	0
AP002748.5	0	1492
AP003108.2	0	0
AP003419.1	0	610
AP006333.1	1	10
AP1AR	0	0
AP1B1	0	374
AP1G1	0	255
AP1G2	0	5230
AP1M1	0	0
AP1M2	41	0
AP1S1	0	0
AP1S2	0	35
AP1S3	0	0
AP2A1	0	2
AP2A2	0	11
AP2B1	0	8150
AP2M1	0	10
AP2S1	0	0
AP3B1	0	0
AP3B2	0	0
AP3D1	0	0
AP3M1	0	0
AP3M2	0	0
AP3S1	0	1
AP3S2	0	0
AP4B1	0	0
AP4E1	0	834
AP4M1	0	0
AP4S1	0	0
AP5B1	96	36
AP5M1	0	1562
AP5S1	0	33
AP5Z1	0	95
APAF1	0	0
APBA1	0	0
APBA2	0	0
APBA3	0	1150
APBB1	0	1921
APBB1IP	0	11
APBB2	0	0
APBB3	0	0
APC	0	3629
APC2	0	0
APCDD1	0	0
APCDD1L	0	136
APCS	0	0
APEH	0	0
APELA	0	0
APEX1	2	0
APEX2	0	0
APH1A	0	1
APH1B	0	44
API5	0	0
APIP	0	433
APLF	0	29
APLN	0	170
APLNR	0	0
APLP1	1	140
APLP2	0	6
APMAP	0	437
APOA1	0	6
APOA2	0	3205
APOA4	0	66
APOA5	0	0
APOB	3	63
APOBEC1	0	0
APOBEC2	0	523
APOBEC3A	0	54
APOBEC3B	0	0
APOBEC3C	0	2
APOBEC3D	0	135
APOBEC3F	0	58
APOBEC3G	0	559
APOBEC3H	0	2
APOBEC4	11	2
APOBR	13	3
APOC1	0	3
APOC2	0	525
APOC3	0	704
APOC4	0	0
APOC4-APOC2	18	0
APOD	0	1
APOE	0	17974
APOF	0	1
APOH	0	288
APOL1	0	0
APOL2	0	4
APOL3	0	0
APOL4	0	1
APOL5	0	26
APOL6	0	13
APOLD1	0	103
APOM	0	5838
APOO	0	0
APOOL	0	0
APP	0	512
APPBP2	0	4
APPL1	0	0
APPL2	0	253
APRT	0	1
APTX	0	0
AQP1	5	0
AQP10	0	0
AQP11	0	1251
AQP12A	215	0
AQP12B	0	0
AQP2	0	6
AQP3	0	0
AQP4	0	1170
AQP5	0	0
AQP6	0	5
AQP7	0	0
AQP8	0	16
AQP9	0	0
AQR	16	0
AR	0	1051
ARAF	0	80
ARAP1	0	19
ARAP2	0	0
ARAP3	0	0
ARC	0	0
ARCN1	0	0
AREG	0	1104
AREL1	0	30
ARF1	0	474
ARF3	28	414
ARF4	7	2
ARF5	0	0
ARF6	0	4
ARFGAP1	0	1
ARFGAP2	0	58
ARFGAP3	0	0
ARFGEF1	0	190
ARFGEF2	0	0
ARFGEF3	1	0
ARFIP1	0	63
ARFIP2	0	5857
ARFRP1	0	660
ARG1	0	3129
ARG2	0	0
ARGFX	0	8506
ARGLU1	0	0
ARHGAP1	64	0
ARHGAP10	32	1
ARHGAP11A	0	7
ARHGAP11B	0	343
ARHGAP12	0	24
ARHGAP15	0	260
ARHGAP17	0	0
ARHGAP18	0	0
ARHGAP19	0	0
ARHGAP20	0	101
ARHGAP21	0	95
ARHGAP22	0	0
ARHGAP23	0	0
ARHGAP24	0	0
ARHGAP25	0	9805
ARHGAP26	0	0
ARHGAP27	0	0
ARHGAP28	0	432
ARHGAP29	0	189
ARHGAP30	0	0
ARHGAP31	0	0
ARHGAP32	0	38
ARHGAP33	0	253
ARHGAP35	0	16
ARHGAP36	0	9
ARHGAP39	6	0
ARHGAP4	0	0
ARHGAP40	0	131
ARHGAP42	33	71
ARHGAP44	0	0
ARHGAP45	0	0
ARHGAP5	0	50
ARHGAP6	0	1788
ARHGAP8	0	0
ARHGAP9	97	0
ARHGDIA	0	0
ARHGDIB	0	0
ARHGDIG	0	3823
ARHGEF1	0	4616
ARHGEF10	1	0
ARHGEF10L	0	6575
ARHGEF11	0	0
ARHGEF12	0	52
ARHGEF15	39	0
ARHGEF16	0	0
ARHGEF17	0	8
ARHGEF18	0	0
ARHGEF19	0	0
ARHGEF2	0	0
ARHGEF25	0	0
ARHGEF26	0	0
ARHGEF28	0	0
ARHGEF3	0	151
ARHGEF33	0	890
ARHGEF35	0	3
ARHGEF37	0	2060
ARHGEF38	0	2
ARHGEF39	0	184
ARHGEF4	0	1889
ARHGEF40	0	3801
ARHGEF5	0	381
ARHGEF6	0	20
ARHGEF7	0	0
ARHGEF9	8	0
ARID1A	26	12
ARID1B	0	73
ARID2	0	45
ARID3A	0	0
ARID3B	0	125
ARID3C	0	1224
ARID4A	2	0
ARID4B	0	0
ARID5A	0	6
ARID5B	0	128
ARIH1	0	1082
ARIH2	4	203
ARIH2OS	0	1
